Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
Administration Area (Named) polygon (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/55-administration-area-named-polygon-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A defined (and possibly named) administrative area.<br /></p><p>S-57 Object Class: Administration Area (Named)<br /></p><p>S-57 Acronym: ADMARE<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:55		2015-05-19 14:29:33	2012-02-24 23:57:25	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:55
Administration Area (Named) polygons (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/637-administration-area-named-polygons-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A defined (and possibly named) administrative area.<br /></p><p>S-57 Object Class: Administration Area (Named)<br /></p><p>S-57 Acronym: ADMARE<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-19 16:20:58	2012-02-25 00:25:03	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:637
Administrative and Support Services Benchmarking Report for FY 2008/09 and FY 2009/10	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2008-10	dataset	The Treasury	Gavin Hamilton	gavin.hamilton@treasury.govt.nz	(04) 917 6112	The results from a benchmarking exercise for FY 2008/09 and 2009/10 have been consolidated into a single 'Administrative and Support Services Benchmarking Report for FY 2008/09 and FY 2009/10'. The report aims to provide managers with management information that improves transparency and scrutiny and helps identify opportunities for improvement and savings. Datasets can be found in the Appendices, including: Function benchmarking results for FY 2008/09 and 2009/10, Summary of agency results for FY 2008/09 and 2009/10.	spreadsheet,html table,pdf	Other-Unknown	No		Feed	Creative Commons Attribution 4 0 International licence		2011-06-17 14:28:10		2011-04-14 11:00:00	2011-04-14 11:00:00	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2008-10
Administrative and Support Services Benchmarking Report for FY 2010/11	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2010-11	dataset	The Treasury	Gavin Hamilton	gavin.hamilton@treasury.govt.nz	(04) 917 6112	Results cover six administrative and support (A and S) service functions across larger departments and Crown entities over two reporting periods (FY 2009/10 and FY 2010/11).	spreadsheet,pdf	Other-Unknown	No		Feed	Creative Commons Attribution 4 0 International licence		2012-03-12 13:31:09		2011-03-12 11:00:00	2011-03-07 11:00:00	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2010-11
Administrative and Support Services Benchmarking Report for FY 2011/12	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2011-12	dataset	The Treasury	Gavin Hamilton	gavin.hamilton@treasury.govt.nz	(04) 917 6112	Results cover six administrative and support (A and S) service functions across larger departments and Crown entities over the reporting period FY 2011/12 and the previous periods (FY 2008/09, FY 2009/10 and FY 2010/11).	spreadsheet,pdf	Other-Unknown	No		Feed	Creative Commons Attribution 4 0 International licence		2013-05-06 11:24:37		2013-04-23 15:00:00	2013-04-23 15:00:00	http://www.treasury.govt.nz/statesector/performance/bass/benchmarking/2011-12
Adolescent oral health service utilisation - 2007-11	http://www.health.govt.nz/nz-health-statistics/health-statistics-and-data-sets/oral-health-data-and-stats/adolescent-oral-health-service-utilisation	dataset	Ministry of Health	Oral Health	OralHealth@moh.govt.nz	0800 855 066	These spreadsheets show the proportion of adolescents in New Zealand using publicly funded dental services on a national level and by region.	Spreadsheet	Annually	No		Manual	Other licensing (check with source agency)		2015-03-26 13:57:24	2012-12-06 00:00:00	2012-12-06 00:00:00	2012-12-06 00:00:00	
Aerial Imagery Collection Footprints Historical	https://data.canterburymaps.govt.nz/layer/7452-aerial-imagery-collection-footprints-historical/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Approximate footprint extents of historic aerial images.<br /></p><p>Copyright statement: Environment Canterbury</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-06-08 09:30:09		2015-08-03 04:36:59	2015-02-10 02:44:31	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:7452
Aerial_Imagery_Collection_Extents	https://data.canterburymaps.govt.nz/layer/7451-aerial-imagery-collection-extents/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Full area covered by each aerial imagery collection<br />1926, 1941, 1955, 1965, 1973, 1946, 1984, 1994, 2011. Shows the full area covered by each aerial imagery for the Canterbury area</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-06-08 09:30:10		2015-08-03 01:05:23	2015-02-10 02:44:31	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:7451
Aerial_Imagery_Footprints_All	https://data.canterburymaps.govt.nz/layer/7453-aerial-imagery-footprints-all/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Footprints of all image tiles in each aerial imagery collection. </p><p>Copyright statement: Environment Canterbury</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-06-08 09:30:09		2015-08-03 01:05:24	2015-02-10 02:44:31	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:7453
Aerial_Imagery_Footprints_Latest	https://data.canterburymaps.govt.nz/layer/8176-aerial-imagery-footprints-latest/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Footprints of the latest Aerial Imagery for the Canterbury Region</p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-08-14 13:24:39		2015-08-03 01:05:28	2015-07-01 04:30:36	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:8176
Agricultural Production Statistics	http://www.stats.govt.nz/browse_for_stats/industry_sectors/agriculture-horticulture-forestry/info-releases.aspx	Dataset	Statistics New Zealand		info@stats.govt.nz	0508 525 525	These releases contain information on farming in New Zealand – including livestock and arable farming, horticulture, and forestry. Agricultural production statistics are produced in collaboration with the Ministry for Primary Industries.	CSV,Spreadsheet,PDF	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2009-12-16 16:27:54	2011-12-16 00:00:00	2015-05-15 00:00:00	2009-12-16 00:00:00	
Aircraft movements	http://www.transport.govt.nz/ourwork/tmif/transport-volume/tv036/	dataset	Ministry of Transport		transport.indicators@transport.govt.nz		Total arrivals and departures by airport	CSV,HTML	Annually	No		Manual	Other licensing (check with source agency)		2014-03-24 12:48:18	2014-03-24 00:00:00	2014-03-24 00:00:00		http://www.transport.govt.nz/ourwork/tmif/transport-volume/tv036/
Airport Noise Contour 50dBa	https://data.canterburymaps.govt.nz/layer/7574-airport-noise-contour-50dba/	dataset	Canterbury Regional Council	Canterbury Maps Partners	ecinfo@ecan.govt.nz		<p>Airport Noise contour supplied by Christchurch International Airport Ltd.<br />50 decibel aircraft noise contour.<br /></p><p>Published in the notification of the decisions made by the Regional Council on the Commisioners' recommendations to Proposed Plan Change 1 to Regional Policy Statement regarding the Urban Development Stratgey 19-Dec-2009.<br /></p><p><a href="http://ecan.govt.nz/our-responsibilities/regional-plans/rps/Pages/proposed-change-1-decisions.aspx">ecan.govt.nz/our-responsibilities/regional-plans/r...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-06-08 09:30:10		2015-08-03 04:52:05	2015-02-10 03:56:00	tag:data.canterburymaps.govt.nz,2010-07:feed:data.govt.nz:layer:7574
Airport/airfield points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/638-airport-airfield-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft.<br /></p><p>S-57 Object Class: Airport/airfield<br /></p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:44		2015-05-19 16:21:15	2012-02-25 00:25:19	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:638
Airport/airfield points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/56-airport-airfield-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft.<br /></p><p>S-57 Object Class: Airport/airfield<br /></p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:55		2015-05-19 14:29:55	2012-02-24 23:57:27	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:56
Airport/airfield polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/854-airport-airfield-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft. </p><p>S-57 Object Class: Airport/airfield</p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale ranges 1:22,000 to 1:90,000.</p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.</p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:36		2011-07-29 11:56:20	2011-07-29 11:56:20	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:854
Airport/airfield polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/525-airport-airfield-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft.<br /></p><p>S-57 Object Class: Airport/airfield<br /></p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:42		2015-05-19 15:15:45	2012-02-25 00:04:45	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:525
Airport/airfield polygon (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/57-airport-airfield-polygon-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft.<br /></p><p>S-57 Object Class: Airport/airfield<br /></p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:49		2015-05-19 14:30:13	2012-02-24 23:57:30	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:57
Airport/airfield polygons (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/639-airport-airfield-polygons-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area containing at least one runway, used for landing, take-off, and movement of aircraft.<br /></p><p>S-57 Object Class: Airport/airfield<br /></p><p>S-57 Acronym: AIRARE<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:43		2015-05-19 16:21:40	2012-02-25 00:25:34	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:639
Airsheds Exceeding PM10 National Standard (2+ days/year)	https://data.mfe.govt.nz/table/2138-airsheds-exceeding-pm10-national-standard-2-days-year/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Source: Regional councils of Northland, Bay of Plenty, Waikato, Hawke's Bay, Manawatu-Wanganui, Wellington, Canterbury, West Coast, Otago, Southland; District councils of Marlborough and Tasman; Nelson City Council; Auckland Council </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 16:30:57	2014-12-01 14:28:01	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2138
Alcohol Use 2012/13: New Zealand Health Survey	http://www.health.govt.nz/publication/alcohol-use-2012-13-new-zealand-health-survey	dataset	Ministry of Health	Health and Disability Intelligence	hdi@moh.govt.nz	0800 855 066	The alcohol use report presents the key findings from the 2012/13 New Zealand Health Survey about alcohol use, misuse and alcohol-related harm among New Zealand adults aged 15 years and over.The following topics are covered: - patterns of alcohol consumption - alcohol use by pregnant women - alcohol availability and use.	Spreadsheet,PDF,Other	Other-Unknown	No		Manual	Other licensing (check with source agency)		2015-03-31 11:04:02	2015-02-04 00:00:00	2015-02-04 00:00:00	2015-02-04 00:00:00	
Alcohol and Tobacco Availability statistics	http://www.stats.govt.nz/browse_for_stats/industry_sectors/alcohol_and_tobacco_availability/info-releases.aspx	Dataset	Statistics New Zealand		info@stats.govt.nz	0508 525 525	These releases provide estimates of the quantity of alcoholic beverages and tobacco available for consumption in New Zealand.As the tobacco available for consumption series was discontinued in September 2010, for reasons of confidentiality, the release title was changed accordingly.	CSV,Spreadsheet,HTML,PDF	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2009-12-15 16:08:42	2012-02-24 00:00:00	2015-02-25 00:00:00	2009-12-15 00:00:00	
Alternative sources of data for 2011 Census variables	http://www.stats.govt.nz/Census/2011-census/alternative-data-sources.aspx	dataset	Statistics New Zealand		info@stats.govt.nz		Statistics New Zealand has identified alternative data sources that may help users fill information gaps left by the halting of the 2011 Census. This resource provides links to reports and data from Statistics New Zealand, as well as other government and non-government organisations, that can assist users with their planning. Both the level of geography and classification vary by source so users should be aware of this when applying the data.	HTML	Other-Unknown	No		Public	Creative Commons Attribution 3.0 New Zealand licence		2011-07-01 12:14:48		2011-08-01 00:00:00		
Analysis of Expenses by Functional Classification - Financial Statements of the Government of New Zealand for the Year Ended 30 June 2009	http://www.treasury.govt.nz/government/financialstatements/yearend/jun09/13.htm	dataset	The Treasury	Gavin Hamilton	gavin.hamilton@treasury.govt.nz	(04) 917 6112	Statement showing the breakdown of total and core Crown expenses excluding losses by functional sectors. Compares the forecast original budget and estimated actuals with actuals for 30 June 2009 and 30 June 2008.	other	Annually	No		Feed	Creative Commons Attribution-Share Alike 3.0 New Zealand licence		2010-08-04 16:08:12		2010-06-09 17:51:00	2009-10-14 00:00:00	http://www.treasury.govt.nz/government/financialstatements/yearend/jun09/13.htm
Anchor berth points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/522-anchor-berth-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A designated area of water where a single vessel, sea plane, etc... may anchor.<br /></p><p>S-57 Object Class: Anchor berth<br /></p><p>S-57 Acronym: ACHBRT<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-19 15:14:25	2012-02-25 00:04:30	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:522
Anchor berth points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/636-anchor-berth-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A designated area of water where a single vessel, sea plane, etc... may anchor.<br /></p><p>S-57 Object Class: Anchor berth<br /></p><p>S-57 Acronym: ACHBRT<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:40		2015-05-19 16:20:39	2012-02-25 00:24:47	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:636
Anchor berth points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/54-anchor-berth-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A designated area of water where a single vessel, sea plane, etc... may anchor.<br /></p><p>S-57 Object Class: Anchor berth<br /></p><p>S-57 Acronym: ACHBRT<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:50		2015-05-19 14:29:08	2012-02-24 23:57:22	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:54
Anchor berth polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/523-anchor-berth-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>A designated area of water where a single vessel, sea plane, etc... may anchor.<br /></p><p>S-57 Object Class: Anchor berth<br /></p><p>S-57 Acronym: ACHBRT<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:37		2015-05-19 15:15:03	2012-02-25 00:04:36	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:523
Anchorage area points (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/520-anchorage-area-points-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:41		2015-05-19 13:20:27	2012-02-25 00:04:22	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:520
Anchorage area points (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/634-anchorage-area-points-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-19 16:19:55	2012-02-25 00:24:20	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:634
Anchorage area points (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/52-anchorage-area-points-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:47		2015-05-19 14:27:17	2012-02-24 23:57:17	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:52
Anchorage area polygon (Hydro, 1:22k - 1:90k)	https://data.linz.govt.nz/layer/521-anchorage-area-polygon-hydro-122k-190k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:22,000 to 1:90,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-19 15:14:06	2012-02-25 00:04:24	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:521
